 IND	  DX_1	  DX_2	  DX_3	  DX_4	  DY_1	  DY_2	  DY_3	  DY_4	  JEU1	  JEU2	  JEU3	  JEU4	  INT1	  INT2	  INT3	  INT4	    F1	    F2	    F3	    F4	   FIT	    TIME
  99	-0.023	-0.027	-0.016	 0.009	-0.005	 0.014	 0.006	 0.034	 0.078	 0.058	 0.092	 0.072	 0.039	 0.045	 0.052	 0.052	  6527	  7251	  7364	  7251	  7364	   02:47
 100	 0.009	 0.011	 0.004	-0.018	-0.007	 0.014	 0.012	 0.022	 0.097	 0.083	 0.089	 0.064	 0.041	 0.046	 0.043	 0.050	  6324	  6491	  6801	  8747	  8747	   02:59
 101	-0.001	 0.018	 0.009	 0.012	 0.002	 0.019	 0.016	-0.016	 0.067	 0.088	 0.101	 0.067	 0.041	 0.048	 0.049	 0.039	  7509	  5528	  6913	  8443	  8443	   02:57
 102	-0.014	 0.003	-0.010	-0.015	 0.020	 0.008	-0.015	 0.008	 0.080	 0.078	 0.075	 0.078	 0.051	 0.050	 0.047	 0.039	  6815	  6024	  7690	  7757	  7757	   02:51
 103	 0.000	 0.016	 0.009	 0.020	 0.017	 0.006	-0.001	-0.011	 0.087	 0.075	 0.079	 0.076	 0.047	 0.041	 0.049	 0.047	  6567	  6279	  7875	  7564	  7875	   02:51
 104	-0.032	-0.001	 0.011	 0.012	 0.007	-0.030	 0.012	-0.015	 0.083	 0.081	 0.082	 0.096	 0.050	 0.049	 0.041	 0.036	  7197	  5885	  7930	  7384	  7930	   02:51
 105	-0.004	 0.019	-0.029	-0.004	-0.003	-0.001	 0.006	 0.030	 0.073	 0.094	 0.070	 0.081	 0.050	 0.044	 0.048	 0.040	  7289	  5346	  8524	  7193	  8524	   02:57
 106	 0.015	 0.006	-0.041	 0.015	-0.032	 0.047	 0.003	-0.019	 0.071	 0.077	 0.088	 0.072	 0.044	 0.044	 0.039	 0.043	  6592	  6569	  8393	  6916	  8393	   02:51
 107	 0.011	 0.014	 0.013	 0.006	-0.026	-0.020	 0.015	 0.004	 0.090	 0.066	 0.094	 0.092	 0.037	 0.048	 0.038	 0.051	  6301	  6913	  7460	  7807	  7807	   02:55
 108	-0.002	-0.015	 0.014	-0.007	 0.029	-0.026	 0.003	 0.012	 0.060	 0.084	 0.077	 0.092	 0.046	 0.038	 0.035	 0.042	  6971	  6193	  7633	  7858	  7858	   02:53
 109	-0.007	-0.010	-0.015	 0.023	-0.005	-0.017	 0.007	-0.021	 0.090	 0.103	 0.097	 0.090	 0.044	 0.049	 0.047	 0.046	  6725	  6104	  8287	  7141	  8287	   02:53
 110	-0.005	 0.003	 0.017	 0.001	-0.015	-0.000	 0.003	-0.008	 0.084	 0.067	 0.081	 0.074	 0.044	 0.050	 0.040	 0.047	  6517	  6637	  7138	  8032	  8032	   02:53
 111	-0.007	 0.012	 0.024	-0.001	 0.016	 0.013	-0.001	-0.023	 0.081	 0.086	 0.067	 0.084	 0.051	 0.045	 0.041	 0.034	  6977	  5845	  7680	  7935	  7935	   02:57
 112	 0.003	-0.004	 0.002	 0.001	-0.001	-0.022	-0.005	 0.030	 0.065	 0.065	 0.076	 0.069	 0.046	 0.047	 0.052	 0.052	  6566	  6561	  7393	  7786	  7786	   02:49
 113	 0.018	-0.010	-0.006	 0.001	 0.002	 0.006	 0.011	-0.004	 0.066	 0.088	 0.089	 0.057	 0.049	 0.053	 0.048	 0.044	  6454	  6252	  7139	  8308	  8308	   02:45
 114	 0.013	-0.009	-0.014	-0.011	 0.004	-0.005	-0.003	-0.017	 0.074	 0.062	 0.085	 0.079	 0.043	 0.044	 0.051	 0.047	  5823	  6973	  7722	  7747	  7747	   02:51
 115	 0.028	 0.003	-0.013	-0.025	-0.010	-0.007	 0.038	-0.034	 0.072	 0.085	 0.094	 0.076	 0.047	 0.036	 0.048	 0.048	  6051	  6103	  7492	  8666	  8666	   02:57
 116	-0.014	-0.008	 0.014	-0.003	 0.002	-0.018	-0.036	-0.007	 0.069	 0.102	 0.065	 0.068	 0.039	 0.047	 0.036	 0.043	  7476	  5553	  7464	  8050	  8050	   02:55
 117	 0.018	-0.024	-0.030	-0.005	 0.009	-0.008	 0.017	 0.042	 0.079	 0.092	 0.083	 0.084	 0.046	 0.043	 0.044	 0.043	  5973	  6888	  8302	  7287	  8302	   02:53
 118	 0.006	-0.023	 0.003	 0.000	-0.003	-0.010	-0.016	-0.005	 0.072	 0.109	 0.090	 0.081	 0.043	 0.039	 0.044	 0.048	  6889	  6145	  7443	  7980	  7980	   02:51
 119	-0.001	-0.011	-0.021	-0.011	-0.023	 0.011	-0.001	-0.006	 0.066	 0.075	 0.087	 0.086	 0.047	 0.051	 0.041	 0.042	  6754	  6490	  7716	  7375	  7716	   02:55
 120	-0.006	-0.013	 0.006	-0.006	 0.006	 0.007	-0.001	-0.014	 0.087	 0.089	 0.096	 0.071	 0.048	 0.046	 0.050	 0.040	  6508	  6375	  6928	  8464	  8464	   02:49
 121	-0.032	-0.017	 0.022	 0.001	 0.002	-0.034	 0.005	 0.000	 0.084	 0.095	 0.076	 0.083	 0.050	 0.047	 0.046	 0.047	  7172	  5840	  7338	  7939	  7939	   02:49
